,AcidRed87-1gL,MethyleneB-250mgL,NaCl,NaOH-1M,PCAT_Gee-T/M/W,PCAT_Gee-pt/g-c3n4,PVP-1wt,RhodamineB-1gL,SDS-1wt,Target
198,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,36.7112330959565
199,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,36.4293281379843
200,0.5,0.25,0.0,0.0,1.25,4.39,0.75,0.5,0.5,21.7181182129935
201,0.25,3.0,0.0,0.0,0.25,3.99,0.5,0.25,0.0,20.3057814465038
202,0.25,3.0,0.0,0.0,0.25,3.99,0.5,0.0,0.0,0.909648393035489
203,0.75,0.0,0.0,0.0,3.75,4.82,0.0,0.0,0.0,37.4053409336529
204,0.25,0.75,0.0,0.0,0.5,1.8,0.75,0.75,0.0,10.6287257570901
205,0.75,0.0,0.0,0.0,3.75,4.99,0.0,0.0,0.0,37.6530001097178
206,0.75,0.0,0.0,0.0,0.75,4.01,0.5,0.5,0.25,64.5960592646175
207,0.5,0.5,0.0,0.0,1.0,2.37,0.0,0.5,0.75,23.0576457571022
208,0.5,0.0,0.0,0.0,0.5,4.42,0.5,0.75,0.75,69.0346929350493
209,0.25,3.0,0.0,0.0,0.25,3.97,0.75,0.0,0.0,0.921724900891168
210,0.5,1.0,0.0,0.0,0.25,2.79,0.75,0.5,0.25,21.5558998325169
211,0.25,0.75,0.0,0.25,1.25,4.82,0.5,0.5,0.0,16.5572659342498
212,0.75,0.25,0.0,0.0,0.75,3.38,0.75,0.5,0.0,55.1281253752803
213,1.0,0.0,0.0,0.0,4.0,4.99,0.0,0.0,0.0,37.9237845642283
214,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,36.7153959846034
215,0.25,0.25,0.0,0.0,0.5,2.16,0.5,0.75,0.25,9.7995418363545
216,0.75,0.0,0.0,0.0,0.25,4.8,1.0,0.5,1.25,47.8562022778914
217,0.5,0.25,0.0,0.25,1.5,4.2,0.25,0.5,0.25,17.5746508986924
218,0.5,0.5,0.0,0.25,0.25,2.8,0.75,0.5,0.25,19.2075410544099
219,0.25,0.0,0.0,0.0,0.75,3.99,1.75,0.25,0.25,50.9109742468171
220,0.25,0.0,0.0,0.0,0.5,2.8,1.25,0.5,0.25,46.998638251054
221,0.5,0.25,0.0,0.0,0.5,4.37,0.5,0.25,1.0,37.4424895261265
222,0.5,0.25,0.0,0.0,0.75,3.42,0.25,0.75,0.25,51.7411374551892
223,0.25,0.75,0.0,0.0,0.75,3.39,1.25,0.25,0.25,35.5269242699208
224,0.25,0.5,0.0,0.0,0.25,3.82,0.75,0.75,0.5,37.2962417581495
225,0.25,0.0,0.0,0.0,0.25,4.8,1.5,0.5,1.0,60.1249280212686
